doc,url,key_effects,key_interaction_detail,notes_mp,notes_amp,notes_general,receptor,stressor,technology,phase,presented_as_potential_interaction,decribed_from_observations_at_the_project_site,monitoring_plan_(mp),adaptive_management_plan_(amp),protection_mitigation_and_enhancement,bmps_applied
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix J Adaptive Management Framework",NA,NA,NA,NA,"ACOUSTICS
Adaptive Management Threshold 1: If acoustic monitoring indicates that sound pressure levels attributable to the Ocean Sentinel device at a distance5 of 100m are above Level A injury threshold criteria (either continuous or impulse of 180dB RMS for cetaceans and 190dB RMS for pinnipeds) or Level B harassment threshold criteria (120dB RMS continuous and 160dB RMS impulse), NNMREC will, after consultation with the AMC, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, implement one or more of the following actions to ensure compliance with ESA, MMPA and other relevant Federal and state statutes:
o Design and perform additional monitoring;
o Modify the operation of the Ocean Sentinel to decrease its acoustic emissions (e.g., locking down the device during high surf, increasing controls to slow the motion of the device, or repairing the device if noise is due to device malfunction);
o Apply for an Incidental Harassment Authorization for acoustic emissions of the Ocean Sentinel.
Adaptive Management Threshold 2: If acoustic monitoring indicates that sound pressure levels attributable to a WEC device similar to the device type (e.g. buoy or attenuator) proposed for testing are above Level A injury threshold criteria (either continuous or impulse of 180dB RMS for cetaceans and 190dB RMS for pinnipeds) or Level B harassment threshold criteria (120dB RMS continuous and 160dB RMS impulse) at a distance of 100m (see footnote 4 regarding rationale for 100m), NNMREC will, after consultation with the AMC, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, assure that
5 It may be ineffective to use an acoustic threshold 10 meters from the Ocean Sentinel as it not likely to result in measurements of the actual noise levels generated solely by the device. A 10-meter distance would be inside the larger project installation and Or is this fine/the signals received may be inaccurate due to reflections (and other interactions) with other physical structures nearby. Therefore a greater threshold distance of 100 meters is proposed. Marine mammal detections in surveys covering the Oregon-Washington coast (Green et al. 1992) indicate a mean incidence of 0.5 animals per km2. A 100-meter radius around the device corresponds to an area of 0.03 km2 so the risk of marine mammal exposure within that area is 0.03/0.5 = 0.06 animals, or about a 6% risk in association with a day or an incident of elevated underwater sound generation. Since the test device would be deployed for limited periods of time, there is lower potential for such incidents to occur frequently or for a sustained long period of time. As such the risk of exposure for any marine mammal is very low, even within the 100-meter radius.
one or more of the following is implemented during testing of the WEC device to ensure compliance with ESA, MMPA and other relevant federal and state statutes:
o Additional monitoring;
o Modify the operation of the WEC device to decrease its acoustic emissions (e.g., locking down the WEC device during high surf, increasing controls to slow the motion of the WEC device, or repairing the WEC device if noise is due to device malfunction);
o Applying for an Incidental Harassment Authorization for acoustic emissions of the WEC device.
Adaptive Management Threshold 3: After review of individual test results, NNMREC, in consultation with the AMC, will:
o Evaluate whether acoustic monitoring techniques are sufficient to adequately assess potential effects of different technologies;
o Assess new information about other sources of noise to confirm confidence in study ability to assess device noise; and
o Determine whether acoustic testing is required for all devices and whether previous study results can be used to support future tests.
Based on the evaluation and assessment described above, NNMREC, after consultation with the AMC, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, will implement one or more of the following to ensure compliance with ESA, MMPA and other relevant Federal and state statutes:
o Modified or additional monitoring techniques;
o Use data and information from existing studies to estimate acoustic emissions and
perform potential effects analysis for future tests.",NA,Marine Mammals.Pinnipeds,Noise,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix J Adaptive Management Framework",NA,NA,NA,NA,"ACOUSTICS
Adaptive Management Threshold 1: If acoustic monitoring indicates that sound pressure levels attributable to the Ocean Sentinel device at a distance5 of 100m are above Level A injury threshold criteria (either continuous or impulse of 180dB RMS for cetaceans and 190dB RMS for pinnipeds) or Level B harassment threshold criteria (120dB RMS continuous and 160dB RMS impulse), NNMREC will, after consultation with the AMC, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, implement one or more of the following actions to ensure compliance with ESA, MMPA and other relevant Federal and state statutes:
o Design and perform additional monitoring;
o Modify the operation of the Ocean Sentinel to decrease its acoustic emissions (e.g., locking down the device during high surf, increasing controls to slow the motion of the device, or repairing the device if noise is due to device malfunction);
o Apply for an Incidental Harassment Authorization for acoustic emissions of the Ocean Sentinel.
Adaptive Management Threshold 2: If acoustic monitoring indicates that sound pressure levels attributable to a WEC device similar to the device type (e.g. buoy or attenuator) proposed for testing are above Level A injury threshold criteria (either continuous or impulse of 180dB RMS for cetaceans and 190dB RMS for pinnipeds) or Level B harassment threshold criteria (120dB RMS continuous and 160dB RMS impulse) at a distance of 100m (see footnote 4 regarding rationale for 100m), NNMREC will, after consultation with the AMC, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, assure that
5 It may be ineffective to use an acoustic threshold 10 meters from the Ocean Sentinel as it not likely to result in measurements of the actual noise levels generated solely by the device. A 10-meter distance would be inside the larger project installation and Or is this fine/the signals received may be inaccurate due to reflections (and other interactions) with other physical structures nearby. Therefore a greater threshold distance of 100 meters is proposed. Marine mammal detections in surveys covering the Oregon-Washington coast (Green et al. 1992) indicate a mean incidence of 0.5 animals per km2. A 100-meter radius around the device corresponds to an area of 0.03 km2 so the risk of marine mammal exposure within that area is 0.03/0.5 = 0.06 animals, or about a 6% risk in association with a day or an incident of elevated underwater sound generation. Since the test device would be deployed for limited periods of time, there is lower potential for such incidents to occur frequently or for a sustained long period of time. As such the risk of exposure for any marine mammal is very low, even within the 100-meter radius.
one or more of the following is implemented during testing of the WEC device to ensure compliance with ESA, MMPA and other relevant federal and state statutes:
o Additional monitoring;
o Modify the operation of the WEC device to decrease its acoustic emissions (e.g., locking down the WEC device during high surf, increasing controls to slow the motion of the WEC device, or repairing the WEC device if noise is due to device malfunction);
o Applying for an Incidental Harassment Authorization for acoustic emissions of the WEC device.
Adaptive Management Threshold 3: After review of individual test results, NNMREC, in consultation with the AMC, will:
o Evaluate whether acoustic monitoring techniques are sufficient to adequately assess potential effects of different technologies;
o Assess new information about other sources of noise to confirm confidence in study ability to assess device noise; and
o Determine whether acoustic testing is required for all devices and whether previous study results can be used to support future tests.
Based on the evaluation and assessment described above, NNMREC, after consultation with the AMC, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, will implement one or more of the following to ensure compliance with ESA, MMPA and other relevant Federal and state statutes:
o Modified or additional monitoring techniques;
o Use data and information from existing studies to estimate acoustic emissions and
perform potential effects analysis for future tests.",NA,Marine Mammals.Cetaceans,Noise,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,BIODIVERSITY SHIFT,NA,NA,"Adaptive Management Threshold 1: If monitoring conducted as described in the Benthic Species and Habitat Monitoring Plan, which includes visual observation and gut analysis, shows substantial differences or significant trends as defined in consultation with ODFW and NMFS in benthic habitat or associated ecological communities between the Project‐affected sites and reference sites, or at any one site over time, as defined by:
a. substrate composition; for example changes in grain size proportions;
b. species composition; for example there could be new species attracted to anchors/devices or species no longer present;
c. species relative abundances; for example, existing species becoming more common or rare; and/or
d. changes to feeding habits; for example a new prey item or disappearance of a species both from visual observation and from gut analysis.
NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statuary authority, implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modify the monitoring plan and/or sampling frequency to determine if ecological interactions have negative effects on protected species, benthic habitat or associated ecological communities;
 Modify the Project to mitigate for Project effects;
 Conduct additional sampling or studies; and/or
 Make determination that no changes to monitoring plans or Project operations are needed.",NA,Invertebrates,Habitat Change,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,SEDIMENT TRANSPORT,NA,NA,"Adaptive Management Threshold 1: If monitoring conducted as described in the Benthic Species and Habitat Monitoring Plan, which includes visual observation and gut analysis, shows substantial differences or significant trends as defined in consultation with ODFW and NMFS in benthic habitat or associated ecological communities between the Project‐affected sites and reference sites, or at any one site over time, as defined by:
a. substrate composition; for example changes in grain size proportions;
b. species composition; for example there could be new species attracted to anchors/devices or species no longer present;
c. species relative abundances; for example, existing species becoming more common or rare; and/or
d. changes to feeding habits; for example a new prey item or disappearance of a species both from visual observation and from gut analysis.
NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statuary authority, implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modify the monitoring plan and/or sampling frequency to determine if ecological interactions have negative effects on protected species, benthic habitat or associated ecological communities;
 Modify the Project to mitigate for Project effects;
 Conduct additional sampling or studies; and/or
 Make determination that no changes to monitoring plans or Project operations are needed.",NA,Physical Environment.Sediment Transport,Habitat Change,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,INDIRECT MORTALITY/INJURY,NA,NA,"Adaptive Management Threshold 1: If Annual Reports indicate that derelict gear is being ensnared on the Ocean Sentinel or project structures and posing harm to species, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority, implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modify the Adaptive Mitigation Plan2 to assure that derelict gear is addressed in a timely manner; or
Modify the Project to reduce the incidences of derelict gear being ensnared on the Ocean Sentinel and/or its mooring configuration.
Adaptive Management Threshold 2: If Annual Reports indicate that derelict gear is being ensnared on and posing harm to species during project tests on WEC devices similar to those proposed for upcoming test, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority,
2 An individual Adaptive Mitigation Plan will be developed for each installation of any anchors, mooring lines, and devices associated with the Ocean Sentinel and WEC devices. Each Adaptive Mitigation Plan will be in effect as long as project structures are deployed.
 7
NNMREC Test Facility Adaptive Management Framework
implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Recommend an Adaptive Mitigation Plan , which includes derelict gear removal, to the WEC developer to assure that derelict gear is addressed in a timely manner; or
 Require WEC developer to modify its device and/or mooring configuration to reduce the incidences of derelict gear being ensnared.","General Procedures for Derelict Gear
i. Detection: NNMREC will perform underwater visual monitoring at least three times for each test: once prior to device deployment, once during active deployment, and once after device removal. Video lander sampling of anchors and reference locations will continue for the duration of the project (i.e., when any project related structure or equipment is in the water) weather permitting. In addition, NNMREC will make visual observations from the water surface, at least bi‐weekly during project deployment, during all visits to the project site to identify any derelict gear.
ii. Notification: If derelict gear is detected, NNMREC will contact NMFS, USFWS and ODFW within two days of detection.
iii. Removal: Any gear entangled with project structures or moorings will be removed in spring/summer (prior to test device deployment) or in fall (immediately following test device removal). If the gear poses an entanglement risk to marine organisms, NNMREC will consult with NMFS, USFWS and ODFW to determine if an earlier or more immediate response is necessary (as described in the Adaptive Management Thresholds below).
iv. Return: NNMREC will make every effort to return gear to owner and will be responsible for storing the gear and contacting the owner to retrieve it; ODFW can provide owner contact information.
v. Recycle: In the event that attempts to return gear are unsuccessful, it may be recycled at the “Fishing for Energy” project located at Newport’s International Port.",NA,Physical Interaction.Entrapment,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,ENTRAPMENT,NA,NA,"Adaptive Management Threshold 1: If Annual Reports indicate that derelict gear is being ensnared on the Ocean Sentinel or project structures and posing harm to species, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority, implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modify the Adaptive Mitigation Plan2 to assure that derelict gear is addressed in a timely manner; or
Modify the Project to reduce the incidences of derelict gear being ensnared on the Ocean Sentinel and/or its mooring configuration.
Adaptive Management Threshold 2: If Annual Reports indicate that derelict gear is being ensnared on and posing harm to species during project tests on WEC devices similar to those proposed for upcoming test, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority,
2 An individual Adaptive Mitigation Plan will be developed for each installation of any anchors, mooring lines, and devices associated with the Ocean Sentinel and WEC devices. Each Adaptive Mitigation Plan will be in effect as long as project structures are deployed.
 7
NNMREC Test Facility Adaptive Management Framework
implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Recommend an Adaptive Mitigation Plan , which includes derelict gear removal, to the WEC developer to assure that derelict gear is addressed in a timely manner; or
 Require WEC developer to modify its device and/or mooring configuration to reduce the incidences of derelict gear being ensnared.","General Procedures for Derelict Gear
i. Detection: NNMREC will perform underwater visual monitoring at least three times for each test: once prior to device deployment, once during active deployment, and once after device removal. Video lander sampling of anchors and reference locations will continue for the duration of the project (i.e., when any project related structure or equipment is in the water) weather permitting. In addition, NNMREC will make visual observations from the water surface, at least bi‐weekly during project deployment, during all visits to the project site to identify any derelict gear.
ii. Notification: If derelict gear is detected, NNMREC will contact NMFS, USFWS and ODFW within two days of detection.
iii. Removal: Any gear entangled with project structures or moorings will be removed in spring/summer (prior to test device deployment) or in fall (immediately following test device removal). If the gear poses an entanglement risk to marine organisms, NNMREC will consult with NMFS, USFWS and ODFW to determine if an earlier or more immediate response is necessary (as described in the Adaptive Management Thresholds below).
iv. Return: NNMREC will make every effort to return gear to owner and will be responsible for storing the gear and contacting the owner to retrieve it; ODFW can provide owner contact information.
v. Recycle: In the event that attempts to return gear are unsuccessful, it may be recycled at the “Fishing for Energy” project located at Newport’s International Port.",Marine Mammals.Pinnipeds,Physical Interaction.Entrapment,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,"ATTRACTION, POTENTIAL HARM",NA,NA,"Adaptive Management Threshold 1: If Annual Reports indicate observations of pinnipeds hauled out on the Ocean Sentinel, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modify the Project to reduce the potential for pinniped haul‐out on the Ocean Sentinel; and/or
 Apply for an Incidental Harassment Authorization if needed for deterrence or removal of
hauled‐out pinnipeds.
Adaptive Management Threshold 2: If Annual Reports indicate observations of pinnipeds hauled out on WEC devices similar to those being proposed for upcoming test, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, require the WEC developer to implement one or more of the following actions:
 Require WEC developer to modify its device to reduce the potential for pinniped haul‐out; and/or
 Require WEC developer to apply for an Incidental Harassment Authorization if needed for deterrence or removal of hauled‐out pinnipeds.","Opportunistic Observations
As a matter of practice, NNMREC staff will make visual observations from the water surface during all visits to the project site, and at least all bi‐weekly during project deployment. If project devices are not deployed but anchors and mooring lines remain in place during the April/May grey whale migration, NNMREC will perform visual observations at least bi‐weekly during that period. NNRMEC will record all opportunistic observations of marine mammals and other listed species and include them in the Annual Report of monitoring results provided to the Adaptive Management Committee, NMFS and ODFW. Additionally, NNMREC will coordinate with NMFS and ODFW, either through their participation in the Adaptive Management Committee or otherwise, to develop a standard form to use in recording and reporting marine mammal observations.",Marine Mammals.Pinnipeds,Behavioral Interaction.Attraction,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,"ENTRAPMENT, POTENTIAL HARM",NA,NA,"Adaptive Management Threshold 1: If Annual Reports indicate that derelict gear is being ensnared on the Ocean Sentinel or project structures and posing harm to species, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority, implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modify the Adaptive Mitigation Plan2 to assure that derelict gear is addressed in a timely manner; or
Modify the Project to reduce the incidences of derelict gear being ensnared on the Ocean Sentinel and/or its mooring configuration.
Adaptive Management Threshold 2: If Annual Reports indicate that derelict gear is being ensnared on and posing harm to species during project tests on WEC devices similar to those proposed for upcoming test, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority,
2 An individual Adaptive Mitigation Plan will be developed for each installation of any anchors, mooring lines, and devices associated with the Ocean Sentinel and WEC devices. Each Adaptive Mitigation Plan will be in effect as long as project structures are deployed.
 7
NNMREC Test Facility Adaptive Management Framework
implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Recommend an Adaptive Mitigation Plan , which includes derelict gear removal, to the WEC developer to assure that derelict gear is addressed in a timely manner; or
 Require WEC developer to modify its device and/or mooring configuration to reduce the incidences of derelict gear being ensnared.","General Procedures for Derelict Gear
i. Detection: NNMREC will perform underwater visual monitoring at least three times for each test: once prior to device deployment, once during active deployment, and once after device removal. Video lander sampling of anchors and reference locations will continue for the duration of the project (i.e., when any project related structure or equipment is in the water) weather permitting. In addition, NNMREC will make visual observations from the water surface, at least bi‐weekly during project deployment, during all visits to the project site to identify any derelict gear.
ii. Notification: If derelict gear is detected, NNMREC will contact NMFS, USFWS and ODFW within two days of detection.
iii. Removal: Any gear entangled with project structures or moorings will be removed in spring/summer (prior to test device deployment) or in fall (immediately following test device removal). If the gear poses an entanglement risk to marine organisms, NNMREC will consult with NMFS, USFWS and ODFW to determine if an earlier or more immediate response is necessary (as described in the Adaptive Management Thresholds below).
iv. Return: NNMREC will make every effort to return gear to owner and will be responsible for storing the gear and contacting the owner to retrieve it; ODFW can provide owner contact information.
v. Recycle: In the event that attempts to return gear are unsuccessful, it may be recycled at the “Fishing for Energy” project located at Newport’s International Port.",Marine Mammals.Cetaceans,Physical Interaction.Entrapment,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,"ENTRAPMENT, POTENTIAL HARM",NA,NA,"Adaptive Management Threshold 1: If Annual Reports indicate that derelict gear is being ensnared on the Ocean Sentinel or project structures and posing harm to species, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority, implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modify the Adaptive Mitigation Plan2 to assure that derelict gear is addressed in a timely manner; or
Modify the Project to reduce the incidences of derelict gear being ensnared on the Ocean Sentinel and/or its mooring configuration.
Adaptive Management Threshold 2: If Annual Reports indicate that derelict gear is being ensnared on and posing harm to species during project tests on WEC devices similar to those proposed for upcoming test, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS, USFWS and ODFW pursuant to their respective statutory authority,
2 An individual Adaptive Mitigation Plan will be developed for each installation of any anchors, mooring lines, and devices associated with the Ocean Sentinel and WEC devices. Each Adaptive Mitigation Plan will be in effect as long as project structures are deployed.
 7
NNMREC Test Facility Adaptive Management Framework
implement one or more of the following actions to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Recommend an Adaptive Mitigation Plan , which includes derelict gear removal, to the WEC developer to assure that derelict gear is addressed in a timely manner; or
 Require WEC developer to modify its device and/or mooring configuration to reduce the incidences of derelict gear being ensnared.","General Procedures for Derelict Gear
i. Detection: NNMREC will perform underwater visual monitoring at least three times for each test: once prior to device deployment, once during active deployment, and once after device removal. Video lander sampling of anchors and reference locations will continue for the duration of the project (i.e., when any project related structure or equipment is in the water) weather permitting. In addition, NNMREC will make visual observations from the water surface, at least bi‐weekly during project deployment, during all visits to the project site to identify any derelict gear.
ii. Notification: If derelict gear is detected, NNMREC will contact NMFS, USFWS and ODFW within two days of detection.
iii. Removal: Any gear entangled with project structures or moorings will be removed in spring/summer (prior to test device deployment) or in fall (immediately following test device removal). If the gear poses an entanglement risk to marine organisms, NNMREC will consult with NMFS, USFWS and ODFW to determine if an earlier or more immediate response is necessary (as described in the Adaptive Management Thresholds below).
iv. Return: NNMREC will make every effort to return gear to owner and will be responsible for storing the gear and contacting the owner to retrieve it; ODFW can provide owner contact information.
v. Recycle: In the event that attempts to return gear are unsuccessful, it may be recycled at the “Fishing for Energy” project located at Newport’s International Port.",Reptiles,Physical Interaction.Entrapment,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: ""NATIONWIDE PERMIT APPLICATION PACWAVE NORTH 2013: Obtaining baseline measurements of ocean ambient sound at a mobile test berth site for wave energy conversion off the central Oregon coast
J.H. Haxel, R.P. Dziak, H. Matsumoto""Appendix I Protection, Mitigation and Enhancement Measures",NA,NA,NA,NA,"Monitoring electromagnetic fields (EMF) for marine renewable energy is a newly emerging application, and mission‐specific instrumentation is needed. NNMREC has designed and will carry out the first deployment of an advanced 2nd generation EMF monitoring instrument to characterize the ambient EMF at the project site and measure the EMF during an energized WEC test. Post monitoring data analysis will take approximately 90 days. The results will be written up in a monitoring summary and provided the Adaptive Management Committee as soon as possible following the initial test.
Adaptive Management Threshold 1: NNMREC, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, will consider the following:
 Validate the effectiveness of the EMF Propagation Model and assess its efficacy in measuring EMF for future tests. If necessary, potential modifications to the model will be recommended.
 Consider both the ability to detect and the level of EMF from the project devices and determine whether there is a meaningful source of EMF from the Project.
10
4
NNMREC Test Facility Adaptive Management Framework
Adaptive Management Threshold 2: Based on the evaluation and assessment described above, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority implement one or more of the following to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modified or additional monitoring techniques;
 Compare the EMF results with known values for impact on endangered species known or likely to be present in the area.
o If the results indicate that WEC‐related EMF levels are within the documented magnetic or electric field sensitivity range of such species and could have an effect on orientation, reproduction, predator/prey dynamics, or the behaviors of any affected species or of fish aggregations either residing nearby or migrating through the project area, NMFS, ODFW, OSU scientists and the Ocean Facilities Manager will work together on an approach to reduce EMF levels during a test.
o In the event that the monitoring shows EMF signatures at levels below concern, and after consulting with NMFS and ODFW, the EMF monitoring program will be modified accordingly; and/or
 Utilize data and information from existing studies to estimate EMF emissions and perform potential effects analysis for future tests.
Adaptive Management Threshold 3: If monitoring indicates that EMF attributable to the project components is in excess of levels known to have an adverse impact on marine life, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and upon approval by NMFS and ODFW pursuant to their respective statutory authority, develop and implement a response plan that outlines the appropriate mitigation action. Actions may include, but are not limited to:
  

Additional shielding of cables or other project components;
Delaying subsequent deployment of tests until resolution of the issue is achieved;
Adoption of new timeframe restrictions designed to address specific resource conflicts (e.g., green sturgeon); or
Monitoring electromagnetic fields (EMF) for marine renewable energy is a newly emerging application, and mission‐specific instrumentation is needed. NNMREC has designed and will carry out the first deployment of an advanced 2nd generation EMF monitoring instrument to characterize the ambient EMF at the project site and measure the EMF during an energized WEC test. Post monitoring data analysis will take approximately 90 days. The results will be written up in a monitoring summary and provided the Adaptive Management Committee as soon as possible following the initial test.
Adaptive Management Threshold 1: NNMREC, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority, will consider the following:
 Validate the effectiveness of the EMF Propagation Model and assess its efficacy in measuring EMF for future tests. If necessary, potential modifications to the model will be recommended.
 Consider both the ability to detect and the level of EMF from the project devices and determine whether there is a meaningful source of EMF from the Project.

4
NNMREC Test Facility Adaptive Management Framework
Adaptive Management Threshold 2: Based on the evaluation and assessment described above, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and after approval by NMFS and ODFW pursuant to their respective statutory authority implement one or more of the following to ensure Project compliance with ESA, MMPA and other relevant federal and state statutes:
 Modified or additional monitoring techniques;
 Compare the EMF results with known values for impact on endangered species known or likely to be present in the area.
o If the results indicate that WEC‐related EMF levels are within the documented magnetic or electric field sensitivity range of such species and could have an effect on orientation, reproduction, predator/prey dynamics, or the behaviors of any affected species or of fish aggregations either residing nearby or migrating through the project area, NMFS, ODFW, OSU scientists and the Ocean Facilities Manager will work together on an approach to reduce EMF levels during a test.
o In the event that the monitoring shows EMF signatures at levels below concern, and after consulting with NMFS and ODFW, the EMF monitoring program will be modified accordingly; and/or
 Utilize data and information from existing studies to estimate EMF emissions and perform potential effects analysis for future tests.
Adaptive Management Threshold 3: If monitoring indicates that EMF attributable to the project components is in excess of levels known to have an adverse impact on marine life, NNMREC will, after consultation with the Adaptive Management Committee, in consultation with and upon approval by NMFS and ODFW pursuant to their respective statutory authority, develop and implement a response plan that outlines the appropriate mitigation action. Actions may include, but are not limited to:
  

Additional shielding of cables or other project components;
Delaying subsequent deployment of tests until resolution of the issue is achieved;
Adoption of new timeframe restrictions designed to address specific resource conflicts (e.g., green sturgeon); or
Decommissioning the site and terminating the test.Decommissioning the site and terminating the test.",NA,Fish.Demersal Fish,EMF,Marine Energy.Wave,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
