KEY INTERACTION DETAIL,n,key_interaction_detail
"Given the size and location of the proposed project—10 PowerBuoys and located 2.5 nautical miles offshore—and implementing measures to address navigation and public safety, at this time, the only anticipated unavoidable adverse impact of the project on recreation, ocean, and land use, is the loss of area associated with the array footprint for sport fishing, commercial fishing, and crabbing. The affected area is 30 acres (0.12 km2) plus any buffer area that fishermen and crabbers may impose to avoid entanglement of fishing gear. Although the project area does overlap with an area used for crabbing, because of the small size of the proposed array, the effect is not expected to be significant.",1,"Given The Size And Location Of The Proposed Project—10 Powerbuoys And Located 2.5 Nautical Miles Offshore—And Implementing Measures To Address Navigation And Public Safety, At This Time, The Only Anticipated Unavoidable Adverse Impact Of The Project On Recreation, Ocean, And Land Use, Is The Loss Of Area Associated With The Array Footprint For Sport Fishing, Commercial Fishing, And Crabbing. The Affected Area Is 30 Acres (0.12 Km2) Plus Any Buffer Area That Fishermen And Crabbers May Impose To Avoid Entanglement Of Fishing Gear. Although The Project Area Does Overlap With An Area Used For Crabbing, Because Of The Small Size Of The Proposed Array, The Effect Is Not Expected To Be Significant."
"he Aquatic Species Subgroup has raised the issue of pinnipeds using the PowerBuoy floats as haul-outs and identified the need to further define options to prevent pinnipeds from resting on the float and to evaluate their effectiveness. In addition, there is concern that if salmon are attracted to the PowerBuoys, pinnipeds may then be drawn to the area to prey on the salmon.",1,"He Aquatic Species Subgroup Has Raised The Issue Of Pinnipeds Using The Powerbuoy Floats As Haul-Outs And Identified The Need To Further Define Options To Prevent Pinnipeds From Resting On The Float And To Evaluate Their Effectiveness. In Addition, There Is Concern That If Salmon Are Attracted To The Powerbuoys, Pinnipeds May Then Be Drawn To The Area To Prey On The Salmon."
"he largest potential for the Project to affect any of the endangered species mentioned would be if a species moving through the area was directly struck by a turbine blade, potentially causing injury or mortality. Boat propeller strikes have been reported to cause injury or mortality to sturgeon and sea turtles. However, operational data confirms that the blades on Verdant Power’s KHPS units rotate at speeds of 30 rpm, orders of magnitude slower than boat propellers. Boats traveling 30-40 miles per hour have propellers capable of turning at speeds of up to approximately 2000 rpm (to approximately 600 rpm for larger commercial ships), this appears to be a very different situation than a stationary turbine rotating at normal loaded operating condition.",1,"He Largest Potential For The Project To Affect Any Of The Endangered Species Mentioned Would Be If A Species Moving Through The Area Was Directly Struck By A Turbine Blade, Potentially Causing Injury Or Mortality. Boat Propeller Strikes Have Been Reported To Cause Injury Or Mortality To Sturgeon And Sea Turtles. However, Operational Data Confirms That The Blades On Verdant Power’s Khps Units Rotate At Speeds Of 30 Rpm, Orders Of Magnitude Slower Than Boat Propellers. Boats Traveling 30-40 Miles Per Hour Have Propellers Capable Of Turning At Speeds Of Up To Approximately 2000 Rpm (To Approximately 600 Rpm For Larger Commercial Ships), This Appears To Be A Very Different Situation Than A Stationary Turbine Rotating At Normal Loaded Operating Condition."
"he USFWS has noted that migratory and resident seabirds are habituated to flying through unobstructed habitats, when away from nesting and roost areas. Because the OPT PowerBuoys rise 29.5 feet above the water surface, stakeholders have raised concerns the project may result in bird injury or mortality via collision or attraction, particularly during inclement weather",1,"He Usfws Has Noted That Migratory And Resident Seabirds Are Habituated To Flying Through Unobstructed Habitats, When Away From Nesting And Roost Areas. Because The Opt Powerbuoys Rise 29.5 Feet Above The Water Surface, Stakeholders Have Raised Concerns The Project May Result In Bird Injury Or Mortality Via Collision Or Attraction, Particularly During Inclement Weather"
HEARING DISTURBANCE/BEHAVIORAL DISTURBANCE: The potential effects from underwater noise generated by wave and tidal energy converters AND Potential for disturbance from project vessels.,1,Hearing Disturbance/Behavioral Disturbance: The Potential Effects From Underwater Noise Generated By Wave And Tidal Energy Converters And Potential For Disturbance From Project Vessels.
HIGH DEGREE OF UNCERTAINTY ANTICIPATED EFFECTS MAY BE DISORIENTATION AND REDUCED EFFECTIVENESS FORAGING,1,High Degree Of Uncertainty Anticipated Effects May Be Disorientation And Reduced Effectiveness Foraging
"However, hoary bats that are offshore may be attracted to the WECs for roosting: occasionally hoary bats will roost at small islands and rarely at novel plants such as cattails (Typha sp.) or anthropogenic structures such as wood towers during migratory periods (D. Johnston, unpublished data). Because the Project provides structure in a marine environment that has little to no other options for temporary roost sites, hoary bats could roost on the WECs or marker buoys rarely, possibly putting them at risk of predation during daylight hours, although they would already be susceptible to predation if flying during the day while at sea.",1,"However, Hoary Bats That Are Offshore May Be Attracted To The Wecs For Roosting: Occasionally Hoary Bats Will Roost At Small Islands And Rarely At Novel Plants Such As Cattails (Typha Sp.) Or Anthropogenic Structures Such As Wood Towers During Migratory Periods (D. Johnston, Unpublished Data). Because The Project Provides Structure In A Marine Environment That Has Little To No Other Options For Temporary Roost Sites, Hoary Bats Could Roost On The Wecs Or Marker Buoys Rarely, Possibly Putting Them At Risk Of Predation During Daylight Hours, Although They Would Already Be Susceptible To Predation If Flying During The Day While At Sea."
Hypothesis 1: The turbine foundation and installation/maintenance anchors will be colonized and provide artificial habitat that supports different benthic communities than are currently present in the Project area.Hypothesis 2: The presence and operation of the turbines and installation/maintenance anchors will not result in accumulation of fine grained sediments.,2,Hypothesis 1: The Turbine Foundation And Installation/Maintenance Anchors Will Be Colonized And Provide Artificial Habitat That Supports Different Benthic Communities Than Are Currently Present In The Project Area.hypothesis 2: The Presence And Operation Of The Turbines And Installation/Maintenance Anchors Will Not Result In Accumulation Of Fine Grained Sediments.
IMPACTS OF INSTALL ON THE BENTHIC COMMUNITY,1,Impacts Of Install On The Benthic Community
"In terms of the attraction of artificial light, the sources of lighting in the project vicinity include buoys and towers related to navigation. The approach to Reedsport traveling up the Umpqua River is marked by more than 25 lit aids to navigation over a distance of 11.5 miles. In addition, there are six unlit towers on the south shore at the mouth of the Umpqua River. No studies of bird collisions have been conducted on these 31 structures, and no evidence of heightened
 mortality was presented during the consultation stage. The Wave Hub environmental statement concluded that the intensity of lighted beacons on WECs would be substantially less than the intensity of a lighthouse, and there is no evidence to suggest that such a deployment would significantly affect bird behavior (Halcrow Group 2006).The potential for avian collisions with the PowerBuoys is not anticipated, except possibly during periods of obscured visibility. To address the concerns regarding potential project effects on low-flying seabirds and migrating water birds, OPT developed an Offshore Avian Use Study Plan (Appendix C)",1,"In Terms Of The Attraction Of Artificial Light, The Sources Of Lighting In The Project Vicinity Include Buoys And Towers Related To Navigation. The Approach To Reedsport Traveling Up The Umpqua River Is Marked By More Than 25 Lit Aids To Navigation Over A Distance Of 11.5 Miles. In Addition, There Are Six Unlit Towers On The South Shore At The Mouth Of The Umpqua River. No Studies Of Bird Collisions Have Been Conducted On These 31 Structures, And No Evidence Of Heightened
 Mortality Was Presented During The Consultation Stage. The Wave Hub Environmental Statement Concluded That The Intensity Of Lighted Beacons On Wecs Would Be Substantially Less Than The Intensity Of A Lighthouse, And There Is No Evidence To Suggest That Such A Deployment Would Significantly Affect Bird Behavior (Halcrow Group 2006).The Potential For Avian Collisions With The Powerbuoys Is Not Anticipated, Except Possibly During Periods Of Obscured Visibility. To Address The Concerns Regarding Potential Project Effects On Low-Flying Seabirds And Migrating Water Birds, Opt Developed An Offshore Avian Use Study Plan (Appendix C)"
"In the study on wave and tidal devices in Scottish waters, the vulnerability of seabird populations to adverse effects from wave energy devices was ranked as low or very low (with the exception of divers/loons, which were ranked as moderate), and one of the seven vulnerability factors used for this ranking was the potential for exclusion from foraging habitat (Furness et al. 2012). Therefore, there is a low likelihood of avoidance or displacement of seabirds as a result of the Project; as such, significant adverse effects are not expected to occur due to displacement.",2,"In The Study On Wave And Tidal Devices In Scottish Waters, The Vulnerability Of Seabird Populations To Adverse Effects From Wave Energy Devices Was Ranked As Low Or Very Low (With The Exception Of Divers/Loons, Which Were Ranked As Moderate), And One Of The Seven Vulnerability Factors Used For This Ranking Was The Potential For Exclusion From Foraging Habitat (Furness Et Al. 2012). Therefore, There Is A Low Likelihood Of Avoidance Or Displacement Of Seabirds As A Result Of The Project; As Such, Significant Adverse Effects Are Not Expected To Occur Due To Displacement."
"In the study on wave and tidal energy converters in Scottish waters, the vulnerability of seabird populations to adverse effects from WECs was ranked as low or very low (with the exception of divers/loons, which were ranked as moderate), and one of the seven vulnerability factors used for this ranking was the potential for exclusion from foraging habitat (Furness et al. 2012). Therefore, there is a low likelihood of avoidance or displacement of seabirds as a result of the Project.",1,"In The Study On Wave And Tidal Energy Converters In Scottish Waters, The Vulnerability Of Seabird Populations To Adverse Effects From Wecs Was Ranked As Low Or Very Low (With The Exception Of Divers/Loons, Which Were Ranked As Moderate), And One Of The Seven Vulnerability Factors Used For This Ranking Was The Potential For Exclusion From Foraging Habitat (Furness Et Al. 2012). Therefore, There Is A Low Likelihood Of Avoidance Or Displacement Of Seabirds As A Result Of The Project."
INCREASE OF AIR EMMISIONS DURING CONSTRUCTION,1,Increase Of Air Emmisions During Construction
INDIRECT:TURBIDITY DUE TO HANDHELD ROCK DRILLING WHILE SECURING CABLE TO BENTHOS,3,Indirect:turbidity Due To Handheld Rock Drilling While Securing Cable To Benthos
"Initially, the District will conduct system testing in Admiralty Inlet. Lighted video observations will be conducted each hour on the following cycle: 1 minute lit, 15 dark, followed by 4 minutes lit, 15 minutes dark, and finally 10 minutes lit, 15 minutes dark. This sample cycling will be used to evaluate the
behavioral effects of artificial light. Specifically, there may be distinct trends in species behavior
correlated with the duration of lighting.",1,"Initially, The District Will Conduct System Testing In Admiralty Inlet. Lighted Video Observations Will Be Conducted Each Hour On The Following Cycle: 1 Minute Lit, 15 Dark, Followed By 4 Minutes Lit, 15 Minutes Dark, And Finally 10 Minutes Lit, 15 Minutes Dark. This Sample Cycling Will Be Used To Evaluate The
Behavioral Effects Of Artificial Light. Specifically, There May Be Distinct Trends In Species Behavior
Correlated With The Duration Of Lighting."
"Installation (or decommissioning) of the mooring anchors and subsea transmission cable would result in localized, temporary disturbance of the seafloor.",2,"Installation (Or Decommissioning) Of The Mooring Anchors And Subsea Transmission Cable Would Result In Localized, Temporary Disturbance Of The Seafloor."
INSTALLATION NOISE EFFECTS ON MARINE LIFE,5,Installation Noise Effects On Marine Life
INSTALLATIONS OPERATIONS AND DEVICE ANCHORAGE WOULD DISTURB BENTHIC HABIT,1,Installations Operations And Device Anchorage Would Disturb Benthic Habit
INTERACTION SUSPECTED FROM NO IMPACT TO AVOIDANCE FOR NON SESSILE BENTHIC ORGANISMS,1,Interaction Suspected From No Impact To Avoidance For Non Sessile Benthic Organisms
INVERTEBRATE GROWTH ON SYSTEM EQUIPTMENT AND ACTION/DECISION OF EQUIPTMENT REMOVAL OR REMAIN IN PLACE FOR BENIFIT OF NON SESSILE INVERTEBRATE SP.,1,Invertebrate Growth On System Equiptment And Action/Decision Of Equiptment Removal Or Remain In Place For Benifit Of Non Sessile Invertebrate Sp.
KING MACKEREL,1,King Mackerel
"Large floating objects such as WEC will potentially reflect and scatter wave energy in addition to the wave energy they absorb. Stakeholders have expressed concerns about the potential impacts of wave farms to the physical environments and ecosystems. The elements of this work plan are based on criteria set forth in the Oregon Territorial Sea Plan, Part Two (Oregon Ocean Policy Advisory Council [OPAC] 1994) To address stakeholder concerns, OPT proposes to conduct a Wave, Current, and Transport Study to assess changes to the wave field and water column characteristics due to the placement of the PowerBuoy array.",1,"Large Floating Objects Such As Wec Will Potentially Reflect And Scatter Wave Energy In Addition To The Wave Energy They Absorb. Stakeholders Have Expressed Concerns About The Potential Impacts Of Wave Farms To The Physical Environments And Ecosystems. The Elements Of This Work Plan Are Based On Criteria Set Forth In The Oregon Territorial Sea Plan, Part Two (Oregon Ocean Policy Advisory Council [Opac] 1994) To Address Stakeholder Concerns, Opt Proposes To Conduct A Wave, Current, And Transport Study To Assess Changes To The Wave Field And Water Column Characteristics Due To The Placement Of The Powerbuoy Array."
"Large floating objects such as WEC will potentially reflect and scatter wave energy in addition to the wave energy they absorb. Stakeholders have expressed concerns about the potential impacts of wave farms to the physical environments and ecosystems. The elements of this work plan are based on criteria set forth in the Oregon Territorial Sea Plan, Part Two (Oregon Ocean Policy Advisory Council [OPAC] 1994)To address stakeholder concerns, OPT proposes to conduct a Wave, Current, and Transport Study to assess changes to the wave field and water column characteristics due to the placement of the PowerBuoy array.",1,"Large Floating Objects Such As Wec Will Potentially Reflect And Scatter Wave Energy In Addition To The Wave Energy They Absorb. Stakeholders Have Expressed Concerns About The Potential Impacts Of Wave Farms To The Physical Environments And Ecosystems. The Elements Of This Work Plan Are Based On Criteria Set Forth In The Oregon Territorial Sea Plan, Part Two (Oregon Ocean Policy Advisory Council [Opac] 1994)To Address Stakeholder Concerns, Opt Proposes To Conduct A Wave, Current, And Transport Study To Assess Changes To The Wave Field And Water Column Characteristics Due To The Placement Of The Powerbuoy Array."
"Lights and navigation aids would be visible at some distance, but are necessary for maritime safety. The range of visibility would vary depending on time of day and weather conditions.",1,"Lights And Navigation Aids Would Be Visible At Some Distance, But Are Necessary For Maritime Safety. The Range Of Visibility Would Vary Depending On Time Of Day And Weather Conditions."
LITTLE SKATE,1,Little Skate
"Managing Project lighting requirements properly would minimize the likelihood that seabirds would be adversely affected by navigational lighting on Project structures, or on servicing and support vessels. Therefore, significant adverse effects on seabirds as a result of artificial lighting associated with the Project are not expected to occur and will be minimized by the avoidance and minimization measures.",1,"Managing Project Lighting Requirements Properly Would Minimize The Likelihood That Seabirds Would Be Adversely Affected By Navigational Lighting On Project Structures, Or On Servicing And Support Vessels. Therefore, Significant Adverse Effects On Seabirds As A Result Of Artificial Lighting Associated With The Project Are Not Expected To Occur And Will Be Minimized By The Avoidance And Minimization Measures."
MITIGATION FOR AQUATIC RESOURCES AND T&E SPECIES,5,Mitigation For Aquatic Resources And T&E Species
MONITORING DEVICE AND IT'S COMPONENTS FOR LOCATION AND DEGREDATION OF ELEMENTS TO PREVENT UNANTICIPATED IMPACTS,1,Monitoring Device And It's Components For Location And Degredation Of Elements To Prevent Unanticipated Impacts
MONITORING RESULTS OF POTENTIAL INTERACTION BETWEEN THE DEVICE AND HAWAIIAN MONK SEALS,1,Monitoring Results Of Potential Interaction Between The Device And Hawaiian Monk Seals
MONITORING RESULTS OF POTENTIAL INTERACTION BETWEEN THE DEVICE AND HUMPBACK WHALES,1,Monitoring Results Of Potential Interaction Between The Device And Humpback Whales
MONITORING RESULTS OF POTENTIAL INTERACTION BETWEEN THE DEVICE AND SEA TURTLES,1,Monitoring Results Of Potential Interaction Between The Device And Sea Turtles
MONITORING RESULTS OF POTENTIAL THERMAL POLLUTION AND CORALS- DETERMINED NO PROJECT EFFECT,1,Monitoring Results Of Potential Thermal Pollution And Corals- Determined No Project Effect
MONITORING REVEALED LIMITED BROKEN CORAL COLONIES UNDER DEVICE,1,Monitoring Revealed Limited Broken Coral Colonies Under Device
"NMFS is specifically concerned that sounds introduced into the sea by man- made devices would have a deleterious effect on marine mammals by causing stress, interfering with communication and predator/prey detection, and changing behavior (NMFS letter to the District dated July 6, 2009).The primary noise produced during Project installation, maintenance, and removal operations would be from boat engines (Minerals Management Service [MMS] 2007) and construction equipment on the non-propulsion barges. Sound sources, durations, and intensities expected during horizontal direction drilling, turbine installation, and cable laying are presented in Tables 3-20 through 3-22. All sound sources would be continuous and are presented as broadband rms source levels (dB re 1 μPa @ 1 m). When multiple sources of the same type are present, the presented source level is an incoherent addition representing the effective source level (e.g., the nominal source level for multiple tugs operating in close proximity).",3,"Nmfs Is Specifically Concerned That Sounds Introduced Into The Sea By Man- Made Devices Would Have A Deleterious Effect On Marine Mammals By Causing Stress, Interfering With Communication And Predator/Prey Detection, And Changing Behavior (Nmfs Letter To The District Dated July 6, 2009).The Primary Noise Produced During Project Installation, Maintenance, And Removal Operations Would Be From Boat Engines (Minerals Management Service [Mms] 2007) And Construction Equipment On The Non-Propulsion Barges. Sound Sources, Durations, And Intensities Expected During Horizontal Direction Drilling, Turbine Installation, And Cable Laying Are Presented In Tables 3-20 Through 3-22. All Sound Sources Would Be Continuous And Are Presented As Broadband Rms Source Levels (Db Re 1 Μpa @ 1 M). When Multiple Sources Of The Same Type Are Present, The Presented Source Level Is An Incoherent Addition Representing The Effective Source Level (E.g., The Nominal Source Level For Multiple Tugs Operating In Close Proximity)."
"NMFS is specifically concerned that sounds introduced into the sea by man- made devices would have a deleterious effect on marine mammals by causing stress, interfering with communication and predator/prey detection, and changing behavior (NMFS letter to the District dated July 6, 2009).The primary noise produced during Project installation, maintenance, and removal operations would be from boat engines (Minerals Management Service [MMS] 2007) and construction equipment on the non-propulsion barges. Sound sources, durations, and intensities expected during horizontal direction drilling, turbine installation, and cable laying are presented in Tables 3-20 through 3-22. All sound sources would be continuous and are presented as broadband rms source levels (dB re 1 μPa @ 1 m). When multiple sources of the same type are present, the presented source level is an incoherent addition representing the effective source level (e.g., the nominal source level for multiple tugs operating in close proximity).Conclusions - Noise associated with Project installation, maintenance, or removal may cause fish species to avoid the Project area, but because these activities would be short term and temporary, it is not expected to cause adverse effects to fish species. Because noise associated with Project installation or maintenance, would be short term and temporary, especially in comparison to the very heavy shipping noise that is so prevalent in the heavily used Admiralty Inlet, it is not expected to cause adverse effects to marine mammals.",3,"Nmfs Is Specifically Concerned That Sounds Introduced Into The Sea By Man- Made Devices Would Have A Deleterious Effect On Marine Mammals By Causing Stress, Interfering With Communication And Predator/Prey Detection, And Changing Behavior (Nmfs Letter To The District Dated July 6, 2009).The Primary Noise Produced During Project Installation, Maintenance, And Removal Operations Would Be From Boat Engines (Minerals Management Service [Mms] 2007) And Construction Equipment On The Non-Propulsion Barges. Sound Sources, Durations, And Intensities Expected During Horizontal Direction Drilling, Turbine Installation, And Cable Laying Are Presented In Tables 3-20 Through 3-22. All Sound Sources Would Be Continuous And Are Presented As Broadband Rms Source Levels (Db Re 1 Μpa @ 1 M). When Multiple Sources Of The Same Type Are Present, The Presented Source Level Is An Incoherent Addition Representing The Effective Source Level (E.g., The Nominal Source Level For Multiple Tugs Operating In Close Proximity).Conclusions - Noise Associated With Project Installation, Maintenance, Or Removal May Cause Fish Species To Avoid The Project Area, But Because These Activities Would Be Short Term And Temporary, It Is Not Expected To Cause Adverse Effects To Fish Species. Because Noise Associated With Project Installation Or Maintenance, Would Be Short Term And Temporary, Especially In Comparison To The Very Heavy Shipping Noise That Is So Prevalent In The Heavily Used Admiralty Inlet, It Is Not Expected To Cause Adverse Effects To Marine Mammals."
"NMFS Protected Resources Division provided OPT with the following protocol for reporting injured or stranded marine mammals (email from Bridgette Lohrman, NMFS, dated April 7, 2008). ODFW indicated its support of this protocol (email from Ken Homolka, ODFW, dated April 11, 2008): Live marine mammals observed at sea.;Live marine mammals observed swimming but appearing debilitated or injured;Live marine mammals observed entangled in fishing gear or marine debris; Dead marine mammals observed floating at sea; Dead protected species found entangled or otherwise impinged at the project.",2,"Nmfs Protected Resources Division Provided Opt With The Following Protocol For Reporting Injured Or Stranded Marine Mammals (Email From Bridgette Lohrman, Nmfs, Dated April 7, 2008). Odfw Indicated Its Support Of This Protocol (Email From Ken Homolka, Odfw, Dated April 11, 2008): Live Marine Mammals Observed At Sea.;Live Marine Mammals Observed Swimming But Appearing Debilitated Or Injured;Live Marine Mammals Observed Entangled In Fishing Gear Or Marine Debris; Dead Marine Mammals Observed Floating At Sea; Dead Protected Species Found Entangled Or Otherwise Impinged At The Project."
NO IMPACT--NOTED THAT COMMERCIAL FISHING AND RECREATIONAL FISHING ACTIVITY IS ALREADY PROHIBITED AT SITE LOCATION,1,No Impact--Noted That Commercial Fishing And Recreational Fishing Activity Is Already Prohibited At Site Location
Noise and vibrations and EMF associated with operation of the Project are not expected to be significant enough to adversely affect fish and marine mammals.,2,Noise And Vibrations And Emf Associated With Operation Of The Project Are Not Expected To Be Significant Enough To Adversely Affect Fish And Marine Mammals.
"Noise and vibrations from vessel traffic during installation and maintenance could result in a minor disturbance to fish. Effects from noise and vibrations associated with installation and maintenance activities will only be temporary and short-term, potentially resulting in avoidance of the area.",4,"Noise And Vibrations From Vessel Traffic During Installation And Maintenance Could Result In A Minor Disturbance To Fish. Effects From Noise And Vibrations Associated With Installation And Maintenance Activities Will Only Be Temporary And Short-Term, Potentially Resulting In Avoidance Of The Area."
NOISE ASSOCIATED WITH DRILLS BOLTING CABLE TO SUBSTRATE,3,Noise Associated With Drills Bolting Cable To Substrate
"None of the Project components or activities are expected to generate sound at levels that could cause injury to marine mammals. However, the sound levels from vessels during installation and operation, from cable laying, and from continuous sounds produced by the various WECs over the 25-year operation of the test center may exceed the 120-dB behavioral disturbance threshold and cause behavioral disruption of marine mammals (NMFS 2012c).",2,"None Of The Project Components Or Activities Are Expected To Generate Sound At Levels That Could Cause Injury To Marine Mammals. However, The Sound Levels From Vessels During Installation And Operation, From Cable Laying, And From Continuous Sounds Produced By The Various Wecs Over The 25-Year Operation Of The Test Center May Exceed The 120-Db Behavioral Disturbance Threshold And Cause Behavioral Disruption Of Marine Mammals (Nmfs 2012c)."
"Offshore avian collision - Multiple large-scale projects would represent potential
obstacles in the open ocean that could pose a higher collision risk to low-flying offshore
avians.",1,"Offshore Avian Collision - Multiple Large-Scale Projects Would Represent Potential
Obstacles In The Open Ocean That Could Pose A Higher Collision Risk To Low-Flying Offshore
Avians."
"On only one occasion was an actual contact confirmed, and this was an adult fish that contacted the camera, not the turbine itself. This experience highlights the difficulties associated with confirming a strike or collision event as either having occurred or having been a near-miss. More interactions were detected at night; this was probably biased by nighttime use of artificial light, which may have attracted fish, but also could have increased detection probability because light is reflected from the fish itself.",1,"On Only One Occasion Was An Actual Contact Confirmed, And This Was An Adult Fish That Contacted The Camera, Not The Turbine Itself. This Experience Highlights The Difficulties Associated With Confirming A Strike Or Collision Event As Either Having Occurred Or Having Been A Near-Miss. More Interactions Were Detected At Night; This Was Probably Biased By Nighttime Use Of Artificial Light, Which May Have Attracted Fish, But Also Could Have Increased Detection Probability Because Light Is Reflected From The Fish Itself."
"ORPC has designed the underwater cables to minimize the potential for effect of EMF on river species. The Project is very small, will be deployed for a limited time, and any electromagnetic fields created from the Project are expected to be extremely localized and minor. In comments on ORPC’s Cook Inlet Tidal Energy Project (FERC Project No. 12679) in Alaska, NMFS concurred with these conclusions regarding EMF, stating “NMFS agrees that the current transmitted from the one to five MW turbine arrays, shielded 
by armored cable and trenching associated with the latter, are not likely to cause significant effects” (NMFS letter to FERC dated May 14, 2009).",1,"Orpc Has Designed The Underwater Cables To Minimize The Potential For Effect Of Emf On River Species. The Project Is Very Small, Will Be Deployed For A Limited Time, And Any Electromagnetic Fields Created From The Project Are Expected To Be Extremely Localized And Minor. In Comments On Orpc’s Cook Inlet Tidal Energy Project (Ferc Project No. 12679) In Alaska, Nmfs Concurred With These Conclusions Regarding Emf, Stating “Nmfs Agrees That The Current Transmitted From The One To Five Mw Turbine Arrays, Shielded 
By Armored Cable And Trenching Associated With The Latter, Are Not Likely To Cause Significant Effects” (Nmfs Letter To Ferc Dated May 14, 2009)."
"OSU would implement measures to minimize entanglement of derelict gear on underwater WEC components, which would minimize the potential for entanglement by diving birds. Therefore, seabirds are not expected to be injured or killed from collision or entanglement with debris or underwater WEC components.",1,"Osu Would Implement Measures To Minimize Entanglement Of Derelict Gear On Underwater Wec Components, Which Would Minimize The Potential For Entanglement By Diving Birds. Therefore, Seabirds Are Not Expected To Be Injured Or Killed From Collision Or Entanglement With Debris Or Underwater Wec Components."
"Our analysis consists of the following:
■ Frequency of interaction with turbine;
■ Turbine design, speed, operation frequency;
■ Abilities of fish and marine mammals to detect large underwater features;
■ Past blade strike analyses;
■ Flow analysis;
■ Comparison of OpenHydro tidal turbine to traditional hydropower and other turbines for
potential injury of marine life;
■ Project scale and context;
■ The District’s proposed near-turbine monitoring study;
■ Proposed safeguards to protect marine life; and
■ Conclusion.",1,"Our Analysis Consists Of The Following:
■ Frequency Of Interaction With Turbine;
■ Turbine Design, Speed, Operation Frequency;
■ Abilities Of Fish And Marine Mammals To Detect Large Underwater Features;
■ Past Blade Strike Analyses;
■ Flow Analysis;
■ Comparison Of Openhydro Tidal Turbine To Traditional Hydropower And Other Turbines For
Potential Injury Of Marine Life;
■ Project Scale And Context;
■ The District’s Proposed Near-Turbine Monitoring Study;
■ Proposed Safeguards To Protect Marine Life; And
■ Conclusion."
"Perching on buoys and other manmade structures is a common behavior for gulls and cormorants, and perching itself is not generally considered to adversely affect these birds. However, if they do perch on the structures,
BLM-S – Bureau of Land Management Sensitive; SOC – U.S. Fish and Wildlife Service Species of Concern; S – Sensitive in Coast Range (CR) ecoregion; SC – Oregon sensitive species list, Sensitive-Critical in Coast Range (CR) ecoregion (ODFW 2016); CS – Oregon Conservation Strategy species, designated in Coast Range (CR) ecoregion as needing management attention (Krutzikowsky et al. 2016).
1 Detected by SM4 bat detectors (Wildlife Acoustics Inc., Maynard, Massachusetts) near the UCMF property they could adversely affect the structures themselves, complicate maintenance activities, forage around underwater WEC components, and potentially be subject to collision with underwater WEC components or entanglement with marine debris that becomes entangled with the components, although this effect is also unlikely to occur (Henkel et al. 2013; see “potential effects of collision or entanglement” section below). Significant adverse effects on seabirds as a result of perching on Project structures or feeding on fish are not expected to occur.",1,"Perching On Buoys And Other Manmade Structures Is A Common Behavior For Gulls And Cormorants, And Perching Itself Is Not Generally Considered To Adversely Affect These Birds. However, If They Do Perch On The Structures,
Blm-S – Bureau Of Land Management Sensitive; Soc – U.s. Fish And Wildlife Service Species Of Concern; S – Sensitive In Coast Range (Cr) Ecoregion; Sc – Oregon Sensitive Species List, Sensitive-Critical In Coast Range (Cr) Ecoregion (Odfw 2016); Cs – Oregon Conservation Strategy Species, Designated In Coast Range (Cr) Ecoregion As Needing Management Attention (Krutzikowsky Et Al. 2016).
1 Detected By Sm4 Bat Detectors (Wildlife Acoustics Inc., Maynard, Massachusetts) Near The Ucmf Property They Could Adversely Affect The Structures Themselves, Complicate Maintenance Activities, Forage Around Underwater Wec Components, And Potentially Be Subject To Collision With Underwater Wec Components Or Entanglement With Marine Debris That Becomes Entangled With The Components, Although This Effect Is Also Unlikely To Occur (Henkel Et Al. 2013; See “Potential Effects Of Collision Or Entanglement” Section Below). Significant Adverse Effects On Seabirds As A Result Of Perching On Project Structures Or Feeding On Fish Are Not Expected To Occur."
"Peregrine Falcons would not be likely to be affected by the project operation as they do not feed in the water where the turbines would be located. Peregrine Falcons do nest on bridges in the project area, but construction and maintenance activities should not affect nesting behavior as it would be similar to other boat traffic on the river.",1,"Peregrine Falcons Would Not Be Likely To Be Affected By The Project Operation As They Do Not Feed In The Water Where The Turbines Would Be Located. Peregrine Falcons Do Nest On Bridges In The Project Area, But Construction And Maintenance Activities Should Not Affect Nesting Behavior As It Would Be Similar To Other Boat Traffic On The River."
"Project construction has the potential to cause erosion of project site soils and sedimentation in waters and wetlands. This potential will be limited because only a minimal amount of excavation will be required to construct the project. The conditioning buildings will be skid-mounted structures installed without foundations on a leveled pad area that will require minimal grading for site preparation. The power cables will be installed underground using horizontal directional drilling. Using this technique will require excavation of and exit-entry pit at the pad site, but will eliminate the need for extensive trenching to install the cables. The transmission line to the PG&E Fairhaven Substation will require only small soil disturbances for the tower foundations.",2,"Project Construction Has The Potential To Cause Erosion Of Project Site Soils And Sedimentation In Waters And Wetlands. This Potential Will Be Limited Because Only A Minimal Amount Of Excavation Will Be Required To Construct The Project. The Conditioning Buildings Will Be Skid-Mounted Structures Installed Without Foundations On A Leveled Pad Area That Will Require Minimal Grading For Site Preparation. The Power Cables Will Be Installed Underground Using Horizontal Directional Drilling. Using This Technique Will Require Excavation Of And Exit-Entry Pit At The Pad Site, But Will Eliminate The Need For Extensive Trenching To Install The Cables. The Transmission Line To The Pg&E Fairhaven Substation Will Require Only Small Soil Disturbances For The Tower Foundations."
