Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Marine Mammals,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,Lack of industry specific guidance.,EMEC Fall of Warness Test Site: Environmental Appraisal,EMEC Fall of Warness Grid-Connected Tidal Test Site
"Wave, Tidal","Design feature, Monitoring",Operation & Maintenance,Entanglement,Fish,"Elasmobranch, large fish",Potential for marine animals to become entangled in device mooring lines and cables.,Install tension sensors on mooring lines.,"Informs of problem with mooring lines allowing rectification, however their implementation would come at an additional cost and would require control system integration.",These types of sensors liable to malfunction. Questions over whether they could detect a collision event.,Moderate,NA,Informs of problem with mooring lines allowing rectification.,"Additional cost. 
Would require control system integration.
Load from entangled animal is likely to be smaller than the device loading on the moorings. 
Uncertainty of the efficacy of this measure.",Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan,EMEC Billia Croo Grid-Connected Wave Test Site
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Habitat Loss,Habitat,"Benthic invertebrates, demersal fish",Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,"Use of locally sourced materials, for cable protection, of the same type as the habitat to be disturbed by cable installation.",Minimize impact on biodiversity/ ecosystem.,NA,NA,As far as technical and economic considerations permit.,Minimizes habitat loss as lost seabed is replaced with same material.,NA,NA,NA
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species.,Install cable protection or armour.,NA,NA,NA,NA,NA,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Fall of Warness Grid-Connected Tidal Test Site, PacWave South Test Site"
"Wave, Tidal",Mitigation,Operation & Maintenance,Entanglement,Birds,Diving birds,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,"Fisheries management: Agreement with fishermen not to fish near to the device, warning of the dangers of losing equipment.",Reduces potential for entanglement of fishing gear in mooring lines and thus potential for entanglement of marine animals.,NA,Low,NA,Reduces potential for entanglement of fishing gear in mooring lines and thus potential for entanglement of marine animals.,NA,EMEC Billia Croo Test Site: Environmental Appraisal,EMEC Billia Croo Grid-Connected Wave Test Site
Tidal,Mitigation,Operation & Maintenance,Collision risk,Marine Mammals,Diving birds,Potential for collision with turbine blades.,Reduce maximum blade tip speed.,NA,NA,NA,NA,Could reduce the likelihood/consequence of potential collision events.,"Potential impacts on power production.
Control mechanism of turbine blade speed unclear. 
May cause increased fatigue.",NA,NA
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Displacement,Reptiles,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,"Timing of installation and decommissioning & marine operations to avoid times of particular sensitivity (e.g., breeding).",NA,NA,NA,NA,Minimizes risk of development causing displacement by avoiding works during sensitive times.,Can be disruptive and hence costly to developer.,NA,NA
Tidal,Mitigation,Operation & Maintenance,Collision risk,Fish,NA,Potential for collision with turbine blades.,Minimise turbine standstill periods.,NA,NA,NA,NA,NA,NA,NA,NA
"Wave, Tidal",Design feature,Operation & Maintenance,Changes in sediment dynamics,Habitat,Benthic species,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive littoral habitat due to devices and associated moorings, support structures, or landfall cables.","Micrositing of landfall cables and infrastructure to minimise the impact on sensitive habitats and species. Best practice techniques for cable installation, burial and protection.",NA,NA,NA,NA,NA,NA,"Lashy Sound Tidal Array Scoping Report, Strategic Tidal Stream Assessment for Alderney, Environmental Scoping Report: Brims Tidal Array, West Islay Tidal Energy Park: Environmental Statement, Wave Hub Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fair Head Tidal Energy Park Environmental Statement, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring","OpenHydro Alderney, Brims Tidal Array, West Islay Tidal Project Energy Park, Wave Hub, Westray South Tidal Project, Fair Head Tidal Array, EMEC Billia Croo Grid-Connected Wave Test Site, Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL)"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Barrier to movement,Birds,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Adherence to vessel management plan.,NA,NA,NA,NA,Minimizes the potential interaction between animals and construction or maintenance vessels.,NA,"Environmental Scoping Report: Brims Tidal Array, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Sound of Islay Environmental Statement","Brims Tidal Array, Tocardo InToTidal at EMEC, Sound of Islay Demonstration Tidal Array"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Fish,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Design structures to minimise effect on turbulence structure.,NA,NA,NA,NA,Minimizes change in turbulence structure and hence potential interaction.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Ramsey Sound Tidal Energy Limited Scoping Report","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen), Ramsey Sound"
"Wave, Tidal","Mitigation, Compliance","Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Marine Mammals,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,NA,Atlantic Marine Energy Test Site Environmental Impact Statement,Atlantic Marine Energy Test Site (AMETS)
"Wave, Tidal",Monitoring,Operation & Maintenance,Entanglement,Fish,"Elasmobranch, large fish",Potential for marine animals to become entangled in device mooring lines and cables.,Fishing debris detected during routine inspections of mooring lines and cables will be removed.,"Would remove/reduce risk of entanglement and is a low cost measure, implemented as part of standard O&M procedures.","This forms part of normal operational procedures, gear would be removed if it could have a detrimental affect on the integrity of the mooring line.",No additional cost as forms part of normal procedure.,NA,"Remove/reduce risk of entanglement.
Low cost measure, implemented as part of standard O&M procedures.
Regular monitoring will benefit system performance in addition to addressing environmental risks (e.g., early detection of damage or failures in the system).",NA,NA,NA
"Wave, Tidal",Design feature,"Installation, Decommissioning",Habitat Loss,Habitat,"Benthic invertebrates, demersal fish",Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Site selection to avoid sensitive or protected sub-littoral seabed communities.,NA,NA,NA,NA,Could reduce/remove effects on sensitive habitats.,NA,"Ness of Duncansby Scoping Report, Environmental Scoping Report: Brims Tidal Array","Ness of Duncansby Tidal Array, Brims Tidal Array"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from subsea cables on sensitive species.,Use of 3-phase cables instead of DC cables.,"Reduces the level of EMF to surrounding water column and therefore any potential effects, however there are potential commercial and technical feasibility issues surrounding the specific project requirements as well as some disagreement as to the efficacy of this measure.",NA,NA,NA,Reduce the level of EMF to surrounding water column and therefore any potential effects.,"Potential commercial and technical feasibility issues.
Uncertainty around the need for and efficacy of this measure.",Ramsey Sound Tidal Energy Limited Scoping Report,Ramsey Sound
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Birds,Diving birds,Potential for marine animals to become entangled in device mooring lines and cables.,Cable design with maximum bend radius.,NA,NA,NA,NA,Remove/reduce risk of entanglement,Mooring design driven by technical and commercial consideration.,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement",EMEC Fall of Warness Grid-Connected Tidal Test Site
"Wave, Tidal",Design feature,Operation & Maintenance,Collision risk,Marine Mammals,NA,Pontential risk of collision with device giving size and character of structure.,"Device components (e.g., transformer and power conditioning equipment) are designed internally.",Reduces potential for collision with external moving parts,Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement,New measure,NA,Reduces potential for collision with external moving parts.,NA,Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report,Galway Bay Test Site
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Displacement,Reptiles,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Array/ mooring configuration designed to avoid migratory routes or other important sites,NA,NA,NA,NA,Minimizes risk of development creating displacement by avoiding migratory routes or other important sites.,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
Tidal,Mitigation,Operation & Maintenance,Collision risk,Birds,Diving birds,Potential for collision with turbine blades.,Reduce maximum blade tip speed.,NA,NA,NA,NA,Could reduce the likelihood/consequence of potential collision events.,"Potential impacts on power production.
Control mechanism of turbine blade speed unclear. 
May cause increased fatigue.",NA,NA
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Changes in sediment dynamics,Habitat,Benthic species,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive sub-littoral seabed due to scour or siltation around devices and associated moorings, support structures, and export cables.",Minimise the amount of structure on the seabed.,NA,NA,NA,NA,Minimizes the changes in sediment dynamics due to presence of structure on the seabed.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings",Environmental Scoping Report: Brims Tidal Array,Brims Tidal Array
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Changes in sediment dynamics,Birds,NA,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation/mooring installation.,NA,NA,NA,NA,NA,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Fall of Warness Grid-Connected Tidal Test Site, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Marine Mammals,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer and settlement of non-native species.,NA,NA,"Argyll Tidal Demonstrator Project, PacWave South Test Site, Mocean Wave Energy Converter: Blue Horizon"
"Wave, Tidal",Monitoring,Operation & Maintenance,Entanglement,Fish,"Elasmobranch, large fish",Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,Ensure standard notifications of loss of fishing gear in region notified to operators. Reporting of entanglement events.,Good practice for emergency preparedness.,NA,Low,NA,Good practice for emergency preparedness.,Chances of lost fishing gear being reported is reportedly low.,Environmental Assessment for Hydropower License: PacWave South Project,PacWave South Test Site
"Wave, Tidal",Compliance,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Habitat,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduce/remove risk of transfer and settlement of non-native species.,NA,NA,NA,Reduce/remove risk of transfer and settlement of non-native species.,NA,"Environmental Monitoring and Mitigation Plan: Shetland Tidal Array, Bluemull Sound, MeyGen Tidal Energy Project Phase 1: Environmental Statement, EMEC Billia Croo Test Site: Environmental Appraisal, Wave Hub Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Environmental Assessment for Hydropower License: PacWave South Project, Orbital O2 Environmental Monitoring Programme","Nova Innovation - Shetland Tidal Array, MeyGen Tidal Energy Project - Phase I, EMEC Billia Croo Grid-Connected Wave Test Site, Wave Hub, Kyle Rhea Tidal Stream Array Project, Magallanes Renovables ATIR at EMEC, PacWave South Test Site"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species.,Limit cable voltage.,NA,NA,NA,NA,NA,NA,MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Monitoring,Operation & Maintenance,Entanglement,Birds,Diving birds,Potential for marine animals to become entangled in device mooring lines and cables.,Install tension sensors on mooring lines.,NA,NA,NA,NA,"Informs of problem with mooring lines allowing rectification.
Cost per unit.","Additional cost and control system integration requirement.
Load from entangled animal is likely to be smaller than the device loading on the moorings. 
Uncertainty of the efficacy of this measure.",Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan,EMEC Billia Croo Grid-Connected Wave Test Site
Tidal,Mitigation,Operation & Maintenance,Collision risk,Marine Mammals,Diving birds,Potential for collision with turbine blades.,Design proportion of swept area to structure area to minimise collision risk.,NA,NA,NA,NA,Could reduce the likelihood/consequence of potential collision events.,"Can be a high cost associated with this.
Can present financial, logistical, or design challenges to technology developer to alter design of device.",MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Reptiles,Sea turtles,Potential for marine animals to become entangled in device mooring lines and cables.,Maintain taut mooring lines.,"Removes/reduces risk of entanglement, however mooring design is driven by technical and economic consideration. An entanglement record is a good way to track events.",-,NA,NA,"Remove/reduce risk of entanglement.
Regular inspections can provide operational insight into condition and track events.","Mooring design driven by technical and commercial consideration.
Regular ROV/dive or drop-down camera inspections required.",Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement,Wello Penguin at EMEC
Tidal,Mitigation,Operation & Maintenance,Collision risk,Birds,Diving birds,Potential for collision with turbine blades.,Design proportion of swept area to structure area to minimise collision risk.,NA,NA,NA,NA,Could reduce the likelihood/consequence of potential collision events.,"Can be a high cost associated with this.
Can present financial, logistical, or design challenges to technology developer to alter design of device.",NA,NA
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Habitat,Benthic invertebrates,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive littoral habitat due to changes in tidal flow around devices and associated moorings, support structures, or landfall cables.","Pre and post installation monitoring of sensitive benthic communities, based on visual surveys.",NA,NA,NA,NA,Reduce scientific uncertainty.,"Interpretation of data for statistical purposes may not have power to detect change generated by impact.
May require correlation with detailed Computational Fluid Dynamics studies and physical flow measurements.","Lashy Sound Tidal Array Scoping Report, Shapinsay Sound Scale Site: Environmental Description, Strangford Lough Marine Current Turbine: Environmental Statement, Sound of Islay Environmental Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Orbital O2 Environmental Monitoring Programme","EMEC Shapinsay Sound Scale Tidal Test Site, Strangford Lough - MCT (SeaGen), Sound of Islay Demonstration Tidal Array, Galway Bay Test Site"
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Changes in sediment dynamics,Birds,NA,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation/mooring installation.,NA,NA,NA,NA,NA,NA,"Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project","Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, PacWave South Test Site"
"Wave, Tidal",Compliance,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Marine Mammals,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduces/removes risk of transfer and settlement of non-native species.,NA,NA,Project vessels will be required to comply with all relevant legislation and guidelines.,Reduce/remove risk of transfer and settlement of non-native species.,NA,"Environmental Monitoring and Mitigation Plan: Shetland Tidal Array, Bluemull Sound, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Environmental Assessment for Hydropower License: PacWave South Project","Nova Innovation - Shetland Tidal Array, MeyGen Tidal Energy Project - Phase I, Strangford Lough - MCT (SeaGen), Kyle Rhea Tidal Stream Array Project, Magallanes Renovables ATIR at EMEC, PacWave South Test Site"
"Wave, Tidal","Design feature, Monitoring",Operation & Maintenance,Entanglement,Fish,"Elasmobranch, large fish",Potential for marine animals to become entangled in device mooring lines and cables.,Routine inspections of mooring lines. Implement features into existing control systems to detect entanglement events.,Would remove/reduce risk of entanglement and is a low cost monitoring capability.,"This forms part of normal operational procedures, gear would be removed if it could have an affect on the integrity of the mooring line.",No additional cost as forms part of normal procedure.,NA,"Remove/reduce risk of entanglement.
Likely to be required as part of the technical monitoring of the device and therefore not an additional cost",Could be a costly measure for technology developers if not required as part of technical monitoring of device.,"Environmental Appraisal (EA) for the Argyll Tidal Demonstrator Project, EMEC Fall of Warness Test Site: Environmental Appraisal, EMEC Billia Croo Test Site: Environmental Appraisal, Environmental Assessment for Hydropower License: PacWave South Project","Argyll Tidal Demonstrator Project, EMEC Fall of Warness Grid-Connected Tidal Test Site, EMEC Billia Croo Grid-Connected Wave Test Site, PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Habitat,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer and settlement of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,Lack of industry specific guidance.,"EMEC Fall of Warness Test Site: Environmental Appraisal, EMEC Billia Croo Test Site: Environmental Appraisal, Orbital O2 Environmental Monitoring Programme","EMEC Fall of Warness Grid-Connected Tidal Test Site, EMEC Billia Croo Grid-Connected Wave Test Site"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bundle cables together to reduce field vectors.,"Reduces the level of EMF to surrounding water column and therefore any potential effects, however there is potential for less redundancy in the system together with potential commercial and technical feasibility issues.",NA,NA,"This measure is implemented as part of normal project design, however is particularly relevant when there are sensitive species identified as being present at or near to the site.",Reduce the level of EMF to surrounding water column and therefore any potential effects,"Less redundancy in system.
Potential commercial and technical feasibility issues.",MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Design feature,Operation & Maintenance,Entanglement,Birds,Diving birds,Potential for marine animals to become entangled in device mooring lines and cables.,Minimise the number of mooring lines.,NA,NA,NA,NA,Reduce risk of entanglement.,Could be a costly measure for technology developers.,NA,NA
Tidal,Mitigation,Operation & Maintenance,Collision risk,Marine Mammals,NA,Potential for collision with turbine blades.,Minimise turbine standstill periods.,NA,NA,New measure,NA,NA,NA,NA,NA
"Wave, Tidal",Monitoring,Operation & Maintenance,Entanglement,Reptiles,Sea turtles,Potential for marine animals to become entangled in device mooring lines and cables.,Fishing debris detected during routine inspections of mooring lines and cables will be removed.,"Removes/reduces risk of entanglement and is a low cost measure, implemented as part of standard O&M procedures.","This forms part of normal operational procedures, gear would be removed if it could have a detrimental affect on the integrity of the mooring line.",No additional cost as forms part of normal procedure.,NA,"Remove/reduce risk of entanglement.
Low cost measure, implemented as part of standard O&M procedures.
Regular monitoring will benefit system performance in addition to addressing environmental risks (e.g., early detection of damage or failures in the system).",NA,NA,NA
"Wave, Tidal",Design feature,Operation & Maintenance,Collision risk,Fish,NA,Pontential risk of collision with device giving size and character of structure.,"Device components (e.g., transformer and power conditioning equipment) are designed internally.",Reduces potential for collision with external moving parts,NA,NA,NA,Reduces potential for collision with external moving parts.,NA,Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report,Galway Bay Test Site
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Habitat,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Installation of ADCPs and turbulence sensors to better understand the baseline tidal flow conditions and hence the change in tidal flow due to presence of the device(s).,NA,NA,NA,NA,Reduce scientific uncertainty.,NA,"Ramsey Sound Tidal Energy Limited Scoping Report, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd","Ramsey Sound, Tocardo InToTidal at EMEC"
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Birds,Diving birds,Modifications to tidal flows affect prey distribution and abundance resulting in changes to foraging behavior.,Observational surveys (including remote sensing) of species (prey availability linked to benthic community).,Reduces scientific uncertainty.,NA,NA,Monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change and the potential need for further mitigation.,Reduce scientific uncertainty.,Statistical power of studies can be low. Can be difficult to distinguish between natural variation and direct effects of energy removal from the system.,"Oyster 2 Wave Energy Project Environmental Statement, Strategic Tidal Stream Assessment for Alderney, Ramsey Sound Tidal Energy Limited Scoping Report, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, EMEC Fall of Warness Test Site: Environmental Appraisal, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Costa Head Wave Farm: Scoping Report Offshore Project Infrastructure, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Oyster 2 Wave Energy Project Environmental Statement, ScottishPower Renewables Proposed Orcadian Wave Project Preliminary Decommissioning Plan, Siadar Wave Energy Project Scoping Report","Oyster 800 at EMEC, OpenHydro Alderney, Ramsey Sound, HS1000 at EMEC, EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, Westray South Tidal Project, Costa Head Wave Farm, MeyGen Tidal Energy Project - Phase I, Pelamis Wave Power P2 Demonstration at EMEC"
"Wave, Tidal",Monitoring,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Marine Mammals,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduces/removes risk of transfer of non-native species.,NA,NA,Needed to comply with all relevant guidelines and regulations.,Reduces/removes risk of transfer of non-native species.,NA,"Orbital O2 Environmental Monitoring Programme, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd",Tocardo InToTidal at EMEC
"Wave, Tidal",Mitigation,Operation & Maintenance,Entanglement,Fish,"Elasmobranch, large fish",Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,"Fisheries management: Agreement with fishermen not to fish near to the device, warning of the dangers of losing equipment.",Reduces potential for entanglement of fishing gear in mooring lines and thus potential for entanglement of marine animals.,NA,Low,When there is significant commerical fisheries activity at or near to the site.,Reduces potential for entanglement of fishing gear in mooring lines and thus potential for entanglement of marine animals.,NA,EMEC Billia Croo Test Site: Environmental Appraisal,EMEC Billia Croo Grid-Connected Wave Test Site
"Wave, Tidal","Mitigation, Compliance","Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Habitat,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer and settlement of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,NA,Atlantic Marine Energy Test Site Environmental Impact Statement,Atlantic Marine Energy Test Site (AMETS)
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species.,Use of 3-phase cables instead of DC cables.,NA,NA,NA,NA,NA,NA,Ramsey Sound Tidal Energy Limited Scoping Report,Ramsey Sound
"Wave, Tidal",Mitigation,Operation & Maintenance,Entrapment,Birds,NA,Potential risk of entrapment within device chambers and mooring arrays.,Regular ROV/drop down camera surveys to establish occurrence of entrapment.,NA,NA,NA,NA,Early detection of entrapment.,Additional cost.,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement, Environmental Monitoring and Mitigation Plan: Shetland Tidal Array, Bluemull Sound","EMEC Fall of Warness Grid-Connected Tidal Test Site, Nova Tidal Array"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bury or HDD cables where possible and viable.,"Reduces the level of EMF to surrounding water column and therefore any potential effects, however the implementation of this measure may have an impact on surrounding benthic habitats and sensitive species. Also reduces 'snagging risk' for vessels.

This measure forms part of normal project design.",NA,NA,This measure is implemented as part of normal project design and is particularly relevant where cables are vulnerable to snagging by fishing vessels or anchor strikes or where shore morphology prevents cable beach landing respectively.,"Reduce the level of EMF to surrounding water column and therefore any potential effects.
Reduces 'snagging risk' for vessels.","May have an impact on surrounding benthic habitats and sensitive species.
Uncertainty around the need for and efficacy of this measure.
Can be very challenging or impossible at sites where seabed tends to be rocky.
Additional cost to the project. 
Reduced possibility of  decommissioning.","Atlantic Marine Energy Test Site Environmental Impact Statement, Environmental Assessment for Hydropower License: PacWave South Project","Atlantic Marine Energy Test Site (AMETS), PacWave South Test Site"
"Wave, Tidal",Monitoring,Operation & Maintenance,Habitat Creation,Birds,NA,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviors.,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure which could benefit future project applications, however there is a cost implication associated with monitoring.",NA,NA,Post installation monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change.,"Reduces scientific uncertainty around collision risk, displacement, and other impacts.
Increased value/fecundity of commercially important species.
Informs understanding of potential positive impacts from colonization and use of the project infrastructure.","This type of monitoring can be expensive and difficult to deliver in practice.
May require additional licensing (e.g., echosounders).","MeyGen Tidal Energy Project Phase 1: Environmental Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring","MeyGen Tidal Energy Project - Phase I, Swansea Bay Tidal Lagoon (SBTL)"
